age,annual_income,current_savings,investment_horizon_years,number_of_dependents,investment_experience_level,risk_profile
43,1406020,1820927,19,3,Intermediate,High
70,851774,1549280,-5,1,Beginner,Low
19,1135650,848828,20,1,Intermediate,High
37,429506,314064,16,0,Advanced,High
45,2603008,4562568,12,1,Beginner,Moderate
64,399834,1319376,1,2,Advanced,Low
24,216181,218200,3,0,Beginner,Moderate
61,984239,1183588,4,0,Intermediate,Low
25,843474,1000564,18,0,Beginner,High
64,1377578,2910316,1,2,Advanced,Low
52,343116,279163,3,0,Intermediate,Low
31,2172734,1775243,12,2,Intermediate,High
34,1076704,808041,11,2,Advanced,High
53,524385,1449988,1,2,Intermediate,Low
67,918641,1313893,-2,1,Intermediate,Low
57,538732,1093050,8,1,Advanced,Moderate
21,893516,799630,6,0,Intermediate,Moderate
19,1262038,307308,9,0,Intermediate,Moderate
23,703726,275913,2,0,Intermediate,Moderate
59,224880,654841,6,0,Intermediate,Moderate
21,495030,282704,8,0,Beginner,Moderate
46,347359,720645,1,1,Intermediate,Low
35,357198,599635,19,0,Intermediate,High
43,429661,778445,5,4,Intermediate,Low
61,1488183,3548174,3,0,Beginner,Low
51,268603,476040,5,1,Advanced,Moderate
27,869868,696322,6,0,Advanced,High
53,1183833,1096335,12,0,Intermediate,High
31,480385,873314,8,1,Intermediate,Moderate
48,1235530,2496517,6,2,Advanced,High
65,438162,561432,0,0,Intermediate,Low
32,1129455,1873062,18,1,Advanced,High
25,733296,937187,20,1,Intermediate,High
31,533850,788560,4,0,Advanced,High
40,608006,383879,15,1,Beginner,Low
57,367030,227937,8,0,Intermediate,Low
38,793868,1369920,14,0,Beginner,Moderate
33,1865189,1244884,14,0,Intermediate,High
62,327796,1057568,3,0,Advanced,Low
35,1191468,1819696,7,3,Beginner,Moderate
64,398833,733095,1,0,Beginner,Low
70,549410,1322037,-5,0,Intermediate,Low
41,439874,633688,13,1,Advanced,High
43,2385969,2969780,18,0,Beginner,High
42,1063698,847429,3,3,Intermediate,Moderate
62,2295850,8500312,3,1,Beginner,Moderate
58,760790,2094254,3,2,Beginner,Low
46,582008,477104,14,0,Intermediate,Moderate
32,1021229,383277,8,0,Intermediate,High
62,3779228,6377164,2,0,Beginner,Low
18,4557012,3094227,2,0,Beginner,Moderate
42,889959,2126713,14,0,Beginner,Moderate
24,1310122,522579,7,0,Beginner,Moderate
26,515530,429072,12,0,Intermediate,High
41,529604,411065,8,2,Intermediate,Moderate
18,770518,187050,9,0,Beginner,Moderate
61,4869940,11902497,4,2,Beginner,Low
25,847303,321764,7,0,Advanced,High
41,4218851,7958395,6,1,Advanced,High
28,264922,279471,2,0,Beginner,Low
68,1431804,2105570,-3,0,Advanced,Low
34,2997458,5067616,15,1,Advanced,High
25,1201788,1351428,17,0,Intermediate,High
52,1365172,2932862,4,2,Advanced,High
52,854147,919081,5,3,Intermediate,Low
50,950096,2153213,13,1,Beginner,Moderate
22,2596862,2115633,13,0,Beginner,High
59,854583,1851178,6,0,Intermediate,Moderate
56,404120,361554,9,1,Advanced,Moderate
58,1092070,1061373,7,1,Beginner,Low
45,230729,120596,5,0,Advanced,Moderate
24,1205963,644689,20,0,Beginner,High
26,368000,331725,11,0,Intermediate,Moderate
25,4613352,3223514,10,1,Beginner,High
29,4599328,6088125,9,1,Beginner,Moderate
51,488037,756039,1,2,Advanced,Low
50,541513,396986,15,3,Intermediate,Moderate
65,1430262,4297936,0,0,Intermediate,Low
40,1119595,860191,5,1,Advanced,Moderate
41,588762,621615,14,1,Beginner,Low
54,582159,1101254,4,0,Intermediate,Low
52,698894,1370410,9,3,Intermediate,Low
61,1070479,1616044,4,0,Intermediate,Low
57,245786,462824,8,0,Intermediate,Low
39,1215720,632262,9,2,Advanced,High
44,4178465,3310069,3,2,Advanced,High
52,553871,1150669,9,3,Beginner,Low
18,1185008,218184,2,0,Beginner,Low
52,381597,380943,13,2,Intermediate,Low
54,262374,586811,10,0,Intermediate,Moderate
64,250041,345861,1,0,Advanced,Low
31,1037100,1636324,1,1,Intermediate,Moderate
20,4413916,2615356,8,1,Intermediate,High
18,1275646,1049540,14,0,Beginner,High
22,552320,659237,16,0,Beginner,Moderate
43,524396,730828,1,1,Intermediate,Low
31,784919,1064573,8,0,Beginner,Moderate
56,280129,818404,1,0,Intermediate,Low
44,1012211,993924,1,0,Intermediate,Moderate
26,772040,1089185,1,2,Intermediate,Low
32,2156159,3657898,4,2,Intermediate,High
32,307111,127970,5,0,Beginner,Low
43,620310,894956,12,0,Advanced,High
59,428537,393352,6,1,Beginner,Low
30,956946,1559086,7,2,Intermediate,Moderate
68,813656,1216220,-3,0,Intermediate,Low
49,1969783,2755518,13,0,Intermediate,High
56,1010265,3219031,9,0,Intermediate,Moderate
66,1141762,2871342,-1,2,Beginner,Low
69,589310,2291475,-4,0,Beginner,Low
49,301529,488745,13,0,Beginner,Low
21,623701,774585,9,0,Beginner,Moderate
47,4076052,11065917,13,2,Beginner,High
54,811652,482381,11,3,Beginner,Low
40,1035837,1255772,19,3,Intermediate,High
56,523290,1684925,6,0,Beginner,Low
62,633279,1991151,3,0,Advanced,Low
32,727367,479477,10,1,Advanced,High
60,239270,778764,5,2,Intermediate,Low
46,810353,748475,15,0,Advanced,Moderate
53,755728,2275415,9,1,Advanced,Moderate
30,884941,375718,5,3,Beginner,Low
49,1271674,3571514,16,1,Intermediate,High
24,638109,216190,19,1,Intermediate,High
68,666387,969433,-3,0,Intermediate,Low
39,1107891,1655215,6,1,Intermediate,High
45,1068233,932648,9,3,Advanced,Moderate
19,389630,218107,6,0,Advanced,High
59,406363,442263,6,2,Intermediate,Moderate
62,496815,1167079,3,1,Advanced,Moderate
70,1118502,3174586,-5,0,Advanced,Low
23,3099405,1498634,9,0,Advanced,High
45,232700,257371,10,2,Beginner,Low
45,589908,1245154,11,2,Intermediate,Moderate
61,815400,712746,4,0,Intermediate,Low
61,1382242,2752533,4,1,Beginner,Low
37,941079,853223,17,0,Beginner,Moderate
47,1215542,1749175,8,0,Beginner,Moderate
28,1008716,1462250,11,0,Intermediate,High
45,918746,2437406,4,2,Advanced,Moderate
42,3650067,2915753,4,1,Intermediate,High
56,414442,303006,9,0,Advanced,Moderate
50,2313513,2295828,13,2,Advanced,High
18,334496,322890,17,0,Beginner,High
44,213750,507618,6,1,Beginner,Low
69,774225,1300128,-4,0,Advanced,Low
30,902249,717099,18,1,Advanced,High
58,4902424,12283349,7,1,Advanced,High
20,1074380,582060,10,1,Beginner,High
56,3952786,12219666,3,2,Beginner,Low
23,469440,540429,3,0,Beginner,Moderate
25,592355,413030,10,1,Intermediate,High
44,1100098,2837187,11,1,Intermediate,High
26,1126944,1384350,12,2,Intermediate,High
54,870063,2248860,6,2,Intermediate,Moderate
50,1163506,3375179,14,1,Advanced,High
68,503089,1078763,-3,0,Intermediate,Low
59,241301,171847,6,0,Beginner,Low
61,1032112,3749070,2,0,Advanced,Low
41,979710,2280114,11,0,Intermediate,Moderate
32,702226,1310259,7,2,Beginner,Low
49,907159,1497714,4,3,Beginner,Low
49,3373125,3012852,6,2,Advanced,High
41,459947,373209,9,2,Beginner,Low
58,860004,1679118,4,0,Intermediate,Low
69,1028669,3106671,-4,0,Advanced,Moderate
66,1260671,2767142,-1,0,Intermediate,Low
66,980022,1922946,-1,0,Intermediate,Low
69,4792705,19238152,-4,0,Advanced,Moderate
29,627635,771480,12,0,Intermediate,High
56,304090,517136,2,1,Intermediate,Low
19,253356,214174,17,1,Intermediate,High
20,1087161,1078201,11,1,Beginner,Moderate
66,759636,1422313,-1,0,Intermediate,Low
54,496736,905417,11,2,Beginner,Low
66,567340,1576166,-1,0,Advanced,Low
34,786479,1119871,7,3,Advanced,Moderate
66,1416086,1754706,-1,0,Intermediate,Low
19,452702,299742,12,0,Beginner,High
19,776553,338706,6,1,Beginner,Low
45,1262890,3164276,6,1,Advanced,High
40,1818057,2532446,4,1,Beginner,Moderate
54,476859,1244508,1,0,Intermediate,Low
49,1375135,822481,15,0,Intermediate,High
50,1455338,2116097,13,3,Intermediate,Moderate
18,221812,71626,13,0,Beginner,Moderate
36,655742,699918,8,4,Intermediate,Moderate
19,572161,540857,17,0,Beginner,High
70,1310633,5169400,-5,1,Advanced,Low
61,1296840,4415169,4,1,Intermediate,Moderate
43,497048,340763,2,2,Beginner,Low
49,486931,598313,7,1,Beginner,Moderate
23,1151900,1139727,8,2,Beginner,Moderate
49,525096,519146,11,2,Intermediate,Moderate
21,630755,166517,14,0,Beginner,Moderate
28,1266271,2045226,15,3,Advanced,High
34,3540211,3186715,4,0,Intermediate,High
55,1416713,2415164,1,1,Intermediate,Low
41,1442736,1397387,13,0,Intermediate,High
22,296532,171312,9,0,Beginner,Moderate
69,515784,2071372,-4,0,Intermediate,Low
51,582799,582244,7,2,Beginner,Low
23,839984,671291,11,0,Beginner,High
39,1365976,2232513,5,3,Advanced,High
28,1127876,670106,6,3,Beginner,Moderate
65,955495,2843370,0,0,Intermediate,Low
33,1341248,1952971,2,0,Intermediate,Moderate
50,548119,1582350,1,1,Intermediate,Low
26,313058,268753,7,0,Beginner,Moderate
23,4280620,2878298,19,0,Beginner,High
33,644695,596856,8,1,Intermediate,Moderate
46,975896,1266648,3,0,Intermediate,Moderate
20,662806,157511,12,0,Beginner,Moderate
37,864452,697619,14,0,Intermediate,High
53,580145,492027,1,2,Beginner,Low
36,4071581,7919599,13,0,Beginner,High
43,1280039,705128,5,0,Intermediate,Moderate
20,253794,143444,15,0,Intermediate,High
36,3525400,2661504,2,2,Intermediate,Moderate
37,949951,1486054,5,2,Intermediate,Moderate
49,1260762,1625793,13,1,Intermediate,High
24,262834,68315,16,0,Advanced,High
69,312768,1180305,-4,1,Intermediate,Low
58,559429,1356999,6,1,Beginner,Low
50,267911,134879,15,0,Intermediate,Low
57,1169170,2931199,2,0,Intermediate,Low
56,883636,1030189,9,0,Beginner,Low
35,673696,1371871,19,0,Beginner,Moderate
57,2282888,4195584,8,0,Beginner,Low
18,547763,208626,6,0,Beginner,Moderate
28,4686923,1510822,15,1,Beginner,Moderate
45,2969417,1728610,17,3,Advanced,High
42,1158810,624023,4,1,Intermediate,Moderate
67,408199,316554,-2,0,Intermediate,Low
40,851724,1274999,4,0,Intermediate,Moderate
48,910315,2286590,17,1,Beginner,Moderate
47,1074138,1378362,9,0,Intermediate,Moderate
59,478144,774011,6,0,Beginner,Low
52,914870,723241,13,1,Intermediate,Moderate
24,1229023,296713,3,0,Beginner,Moderate
33,584392,1110576,7,1,Intermediate,Moderate
43,622101,879684,11,4,Advanced,Moderate
65,265534,808955,0,0,Beginner,Low
69,1424644,5250274,-4,2,Advanced,Low
66,1750493,1802107,-1,1,Beginner,Low
19,506018,222391,17,0,Beginner,Moderate
18,1161580,733865,14,0,Beginner,High
65,219080,354143,0,0,Beginner,Low
29,600654,220586,10,0,Beginner,Low
22,3256996,3915391,16,0,Beginner,High
54,705610,857015,11,3,Advanced,Moderate
49,4552754,3042661,16,3,Beginner,Moderate
26,1032697,835487,10,1,Beginner,Moderate
58,810999,2362247,6,0,Advanced,Moderate
52,2088717,2000918,13,3,Advanced,High
36,534309,612536,9,0,Beginner,Low
65,487495,610810,0,1,Intermediate,Low
33,1246166,2093427,19,0,Intermediate,High
20,676776,489201,7,1,Advanced,High
37,1162066,1673364,9,4,Advanced,Moderate
41,547793,1064074,17,1,Beginner,Moderate
50,4180652,11911759,15,1,Intermediate,High
41,706341,442796,8,4,Intermediate,Low
69,4822477,17395448,-4,1,Intermediate,Low
28,662760,625593,9,0,Beginner,Moderate
66,1101213,3054382,-1,0,Advanced,Low
25,4807543,6326580,13,0,Intermediate,High
53,1340031,1870184,12,3,Intermediate,Moderate
55,3882901,11420427,10,0,Beginner,Moderate
57,542537,1285564,8,0,Beginner,Low
37,1205953,1068678,5,4,Intermediate,Moderate
52,1692320,4927127,13,1,Intermediate,High
65,2728051,2286004,0,0,Beginner,Low
42,370849,615662,18,2,Advanced,Moderate
52,418550,236002,9,2,Intermediate,Moderate
42,806676,477165,3,3,Beginner,Low
46,4584103,3164827,10,0,Intermediate,High
35,805830,1543136,3,1,Advanced,High
63,1191834,2848381,2,2,Advanced,Low
35,1388946,1118129,19,2,Intermediate,High
19,493125,276694,13,0,Beginner,High
52,1976044,5333195,4,2,Intermediate,Moderate
33,1456254,1850447,5,2,Beginner,Low
58,682724,458601,7,0,Beginner,Low
53,780060,2214399,2,2,Intermediate,Low
50,725318,1339054,11,1,Beginner,Low
21,1200225,499298,3,0,Advanced,High
50,4325935,9897813,10,0,Advanced,High
31,814214,926194,1,1,Advanced,Moderate
38,1481323,1095802,7,1,Advanced,High
65,255697,706437,0,0,Advanced,Low
37,2605539,4055778,6,0,Advanced,High
25,396123,571765,11,2,Beginner,Low
24,523539,291672,15,0,Advanced,High
20,350617,262390,19,1,Beginner,Moderate
34,761906,674855,8,2,Intermediate,Moderate
50,3127276,3894870,15,1,Beginner,Moderate
65,1028845,2359487,0,1,Intermediate,Low
29,206482,273908,6,0,Advanced,High
68,208355,570136,-3,1,Beginner,Low
39,849874,525905,1,4,Intermediate,Low
39,496488,1086631,19,4,Advanced,High
63,929391,2660423,2,0,Intermediate,Low
47,790083,1446973,2,1,Intermediate,Low
55,1895411,1794282,4,0,Intermediate,Moderate
55,852470,785076,10,1,Beginner,Low
62,392575,600533,3,0,Intermediate,Low
68,1826828,6975785,-3,0,Intermediate,Moderate
25,613440,266059,19,0,Intermediate,High
44,1945574,3658199,6,1,Beginner,Moderate
44,495191,920426,4,4,Intermediate,Low
51,1019678,759113,14,2,Advanced,Moderate
38,3058085,5271950,10,1,Intermediate,High
47,207901,330377,11,0,Beginner,Low
50,1239850,2172080,12,2,Intermediate,Moderate
45,280763,129812,4,3,Intermediate,Low
64,681778,2392876,1,1,Intermediate,Low
50,4447115,9009521,15,1,Intermediate,High
22,1037047,917766,9,1,Beginner,Moderate
65,4121265,7890697,0,1,Intermediate,Low
36,1339696,2174563,4,3,Intermediate,Moderate
21,4876159,5289067,19,0,Advanced,High
52,1161329,2098540,2,0,Beginner,Low
66,227311,558907,-1,1,Intermediate,Low
34,1101919,764954,3,1,Intermediate,Moderate
61,1058570,1786093,4,1,Beginner,Low
45,1701473,2557930,6,2,Advanced,High
47,875671,1772356,2,2,Intermediate,Low
46,970960,2527418,15,0,Intermediate,Moderate
63,2063413,2190933,2,0,Intermediate,Low
70,1530665,3905672,-5,0,Advanced,Moderate
23,1281280,1194931,5,0,Intermediate,High
52,4480720,11946918,9,2,Beginner,Moderate
58,806191,2439836,1,0,Advanced,Moderate
54,201520,468304,11,1,Advanced,High
41,555974,449776,10,1,Intermediate,Moderate
46,1968859,4436958,8,1,Intermediate,High
66,361291,928236,-1,1,Advanced,Low
63,929369,3399821,2,1,Advanced,Low
70,2074914,8374890,-5,0,Intermediate,Moderate
48,439524,792898,11,1,Advanced,High
52,4714897,14016154,9,1,Intermediate,High
50,3298031,1861198,10,2,Intermediate,Moderate
69,4905193,18877591,-4,0,Advanced,Low
38,276308,611377,17,4,Beginner,Low
49,1363652,3939230,11,0,Intermediate,High
40,2399178,4692781,4,0,Intermediate,High
50,300216,285701,1,0,Intermediate,Low
20,705922,829217,18,0,Advanced,High
35,1377269,1513511,15,0,Advanced,High
42,490023,690731,11,0,Beginner,Low
59,2695798,1710812,6,2,Intermediate,Moderate
48,914475,1192463,17,0,Beginner,Moderate
20,537917,245906,18,1,Intermediate,High
57,571032,1057536,8,1,Intermediate,Low
63,440970,651724,2,2,Intermediate,Low
41,362735,481323,4,3,Beginner,Low
67,647829,754297,-2,0,Beginner,Low
49,250626,707383,11,2,Beginner,Moderate
64,727609,2011995,1,0,Intermediate,Low
39,2468811,5721431,8,1,Advanced,High
40,831328,340541,12,1,Beginner,Moderate
19,417152,410487,11,0,Beginner,Moderate
44,4804349,3004621,5,4,Intermediate,Moderate
59,544664,1564733,6,0,Intermediate,Moderate
19,3282070,3499828,15,0,Beginner,High
43,615568,450879,11,4,Beginner,Low
34,661559,1300259,2,1,Intermediate,Low
57,1374315,2492111,8,1,Intermediate,Moderate
50,855267,1163607,3,3,Advanced,Low
26,2613316,3382926,8,0,Beginner,High
60,1989221,6284419,5,0,Advanced,High
65,800802,2697652,0,0,Advanced,Low
56,822469,1897652,9,0,Intermediate,Moderate
46,2942327,3357959,7,0,Beginner,Moderate
59,1160830,1631906,6,1,Intermediate,Moderate
43,2736046,2521565,13,2,Advanced,High
52,1004876,905223,10,0,Beginner,Low
67,763710,1516059,-2,2,Intermediate,Low
42,222555,493562,17,2,Intermediate,Moderate
41,339296,832006,15,0,Intermediate,Moderate
30,656242,879621,3,0,Intermediate,Moderate
24,869748,371714,18,0,Beginner,High
53,1353838,3134058,5,2,Beginner,Low
62,930237,1370808,3,0,Advanced,Low
37,773935,1313851,9,3,Intermediate,Moderate
18,4657236,1828697,13,0,Intermediate,High
25,455739,207398,2,2,Intermediate,Low
63,1489426,3915096,2,0,Advanced,Moderate
33,320100,467506,10,0,Intermediate,Moderate
31,780332,465387,14,1,Intermediate,High
29,319176,329521,20,2,Beginner,Moderate
68,1331243,4891263,-3,0,Intermediate,Low
40,736375,1303114,5,0,Beginner,Moderate
32,296431,415421,19,3,Intermediate,Moderate
45,1231469,2558989,19,0,Advanced,High
51,4083001,5726637,9,2,Intermediate,Moderate
19,583536,225039,11,0,Beginner,Moderate
49,1482136,3389763,5,0,Advanced,High
40,1197178,2422946,9,0,Intermediate,High
39,926515,1979798,8,0,Intermediate,High
68,381205,1289928,-3,1,Advanced,Low
42,375707,430856,18,3,Intermediate,Moderate
39,948640,1233798,8,4,Advanced,Moderate
39,335298,640695,13,0,Advanced,Moderate
66,267160,650284,-1,1,Beginner,Low
69,929543,2428142,-4,1,Beginner,Low
59,1472306,4962422,6,0,Intermediate,High
23,1393940,1855682,18,0,Intermediate,High
32,1155593,1777240,10,1,Beginner,Moderate
60,773525,2342776,5,2,Advanced,Moderate
54,1390798,1744188,2,0,Intermediate,Moderate
50,324746,644472,15,1,Advanced,Moderate
25,1091143,924642,11,0,Beginner,High
70,1420615,1198528,-5,1,Advanced,Low
61,901221,2978339,2,2,Beginner,Low
61,1422008,2149966,4,0,Intermediate,Moderate
22,811615,1010416,9,0,Intermediate,High
56,571481,1338521,9,0,Advanced,Moderate
21,343466,365345,17,0,Intermediate,High
23,937141,709963,10,0,Beginner,Moderate
62,1097707,1318331,3,0,Intermediate,Low
49,338810,892109,6,1,Beginner,Low
69,3074938,10424244,-4,0,Intermediate,Low
47,1051191,2358009,13,3,Advanced,High
64,1041917,1376297,1,1,Advanced,Low
52,1464998,2748752,13,1,Advanced,High
57,312715,465786,6,1,Beginner,Low
69,856121,2400633,-4,0,Intermediate,Low
33,1354129,1636472,12,2,Beginner,Moderate
30,356803,201976,11,3,Intermediate,Moderate
67,1756190,4846198,-2,2,Beginner,Low
59,1033128,725896,6,0,Beginner,Moderate
47,420091,267276,15,1,Advanced,Moderate
36,1155923,796436,6,0,Beginner,Moderate
34,294037,389295,9,1,Beginner,Low
36,4906408,8473746,18,1,Advanced,High
45,1263316,2792636,3,0,Beginner,Moderate
43,1248126,1279045,2,1,Intermediate,Low
54,1385585,2185561,11,1,Beginner,Low
43,623514,581467,11,1,Intermediate,Moderate
70,1151828,952705,-5,0,Beginner,Low
40,1336053,1857266,5,1,Advanced,High
26,630936,611114,12,0,Intermediate,High
29,1280531,2107589,2,3,Beginner,Low
70,1490727,4757763,-5,1,Beginner,Low
18,437364,446493,10,0,Intermediate,High
18,369876,159621,18,0,Beginner,Moderate
64,1008247,2983152,1,0,Advanced,Low
51,1211532,2466248,7,2,Advanced,Moderate
49,3494845,4253763,3,0,Intermediate,Moderate
65,515028,688199,0,1,Intermediate,Low
42,979473,1010017,1,0,Intermediate,Low
57,366929,1233655,7,0,Intermediate,Low
62,4110878,2844546,3,2,Intermediate,Low
70,3759315,14536962,-5,2,Advanced,Moderate
18,511239,447087,7,0,Beginner,Moderate
33,1398447,1715789,8,3,Advanced,Moderate
56,837065,2480293,9,2,Beginner,Low
22,326014,90359,6,0,Beginner,Moderate
39,1074255,1559006,5,0,Advanced,High
46,1437407,1604827,16,2,Intermediate,Moderate
20,533875,112009,20,0,Beginner,High
29,1021601,1213272,12,1,Advanced,High
43,429247,791612,10,0,Intermediate,Moderate
33,1241079,1619335,12,3,Intermediate,High
68,3329380,6684331,-3,1,Intermediate,Low
54,688603,1867172,2,0,Beginner,Low
39,341094,361273,7,3,Intermediate,Moderate
46,219044,405036,5,3,Intermediate,Moderate
31,1202878,2230004,18,1,Advanced,High
45,903411,2125870,18,1,Beginner,Moderate
22,1264526,1174368,16,0,Beginner,High
64,371884,1040287,1,2,Advanced,Low
66,641029,2202131,-1,0,Beginner,Low
47,2828656,2498134,18,2,Beginner,Moderate
63,2265430,2213681,2,2,Advanced,Low
69,792861,1151304,-4,1,Intermediate,Low
22,939848,976497,7,0,Beginner,Moderate
29,591330,831477,20,0,Beginner,Moderate
33,1464062,551258,5,2,Advanced,Moderate
43,521381,291427,17,3,Beginner,Low
43,820920,2085437,4,3,Advanced,Moderate
65,1287536,2896099,0,0,Beginner,Low
38,1553772,2172509,6,1,Intermediate,High
56,650714,1479795,6,0,Intermediate,Moderate
53,1352159,4172459,3,0,Beginner,Moderate
50,3474828,3123001,10,0,Advanced,Moderate
47,349323,683884,11,1,Advanced,Moderate
54,4091604,3046929,11,0,Advanced,High
40,702926,1002998,4,1,Intermediate,Moderate
27,2503402,2163839,7,0,Beginner,High
22,491043,252890,10,0,Beginner,Moderate
53,282867,480157,1,1,Intermediate,Low
51,1140578,2612560,9,2,Advanced,Moderate
69,3066821,11014147,-4,0,Intermediate,Low
48,280945,664091,3,2,Advanced,Moderate
27,555353,588432,9,1,Beginner,Moderate
36,374211,738902,18,3,Intermediate,Moderate
49,3595939,7874870,3,2,Advanced,High
18,827733,773466,7,0,Beginner,Moderate
22,912124,600229,16,0,Intermediate,High
62,219593,611558,3,1,Advanced,Low
21,1034892,298288,7,0,Beginner,Moderate
33,337938,645218,7,0,Intermediate,Moderate
41,896463,1524062,5,1,Intermediate,Moderate
33,1400948,2442649,11,0,Intermediate,High
19,1233482,803155,7,1,Beginner,Moderate
66,3100513,2361920,-1,0,Intermediate,Low
45,775816,1208016,4,0,Intermediate,Moderate
49,1475926,3347668,12,3,Intermediate,High
44,667288,389509,2,0,Intermediate,Low
37,254442,141357,20,2,Intermediate,Moderate
41,2446125,1275215,8,0,Intermediate,Moderate
29,581811,269859,12,0,Beginner,Moderate
67,2476087,6754873,-2,0,Intermediate,Moderate
52,396570,1107788,13,1,Intermediate,Moderate
50,504465,846145,8,1,Beginner,Low
50,1436267,3622208,7,2,Intermediate,Moderate
68,3617815,7362889,-3,1,Advanced,Moderate
60,2844970,9006641,5,1,Beginner,Moderate
54,594203,573651,11,1,Advanced,High
29,210465,236185,1,0,Advanced,Moderate
20,1348955,971471,1,0,Beginner,Moderate
18,849686,231586,11,0,Intermediate,High
50,1335706,1463405,15,0,Beginner,Moderate
57,745950,1455472,5,1,Beginner,Low
27,912136,1196715,14,0,Beginner,Moderate
60,650374,2155540,5,1,Beginner,Moderate
61,779660,2224946,4,1,Intermediate,Moderate
46,3609773,4093240,5,0,Intermediate,High
30,504600,229175,3,0,Beginner,Moderate
29,564490,593599,14,1,Beginner,Moderate
48,707716,924619,11,3,Intermediate,Moderate
63,256229,616092,2,0,Intermediate,Low
19,575510,326916,2,1,Beginner,Moderate
68,4180911,8233309,-3,2,Intermediate,Low
67,1085776,4044666,-2,0,Intermediate,Low
52,1029053,2321123,11,3,Beginner,Moderate
40,741944,1290547,14,0,Beginner,Moderate
34,941371,534063,10,0,Beginner,Moderate
43,2804116,3554998,7,2,Intermediate,Moderate
25,459338,552795,1,0,Beginner,Low
46,1139014,2009199,8,2,Advanced,Moderate
43,653739,928167,2,0,Intermediate,Moderate
27,1363632,2158937,3,3,Intermediate,High
43,1443792,1044140,12,4,Intermediate,Moderate
51,4230729,3892025,3,2,Advanced,High
68,760545,1973647,-3,1,Beginner,Low
58,754951,1324951,7,1,Intermediate,Moderate
24,1253500,1023885,19,0,Beginner,High
21,3043036,2389599,4,1,Beginner,High
70,1300923,1491047,-5,1,Beginner,Low
67,667931,1051928,-2,1,Intermediate,Low
62,1244792,2844579,3,0,Intermediate,Moderate
28,369638,203661,2,2,Advanced,Moderate
46,212393,507845,11,0,Beginner,Moderate
53,3408052,8882213,12,0,Advanced,High
42,1229132,1982783,15,2,Beginner,Moderate
38,411295,543059,17,1,Intermediate,High
53,1930079,5777364,5,1,Beginner,Moderate
27,1334318,1715473,19,0,Advanced,High
54,885376,569250,5,1,Intermediate,Low
26,568583,312947,8,2,Beginner,Moderate
41,4674064,2615667,19,3,Beginner,Moderate
52,780326,2423833,12,1,Intermediate,High
66,1028728,2112216,-1,0,Intermediate,Low
52,254946,221525,13,0,Advanced,Moderate
65,1209972,2194953,0,0,Intermediate,Low
53,540766,1690904,3,3,Advanced,Moderate
35,3769306,2262537,6,1,Beginner,Moderate
66,304189,559074,-1,0,Intermediate,Low
56,668683,890848,1,0,Intermediate,Low
49,227704,552417,10,0,Advanced,High
41,444371,205427,13,0,Beginner,Low
