age,annual_income,current_savings,target_goal_amount,investment_horizon_years,number_of_dependents,investment_experience_level,goal_success
28,4905319,2452795,8776428,9,1,Beginner,Moderate
19,2069248,939845,2248751,4,0,Beginner,Moderate
36,1348477,725375,5508919,1,2,Intermediate,Unlikely
27,920849,665727,2307257,2,2,Beginner,Unlikely
22,874601,431064,1907984,10,2,Beginner,Moderate
28,1062381,679928,2570862,20,2,Beginner,Likely
30,1040467,2405487,9527849,8,0,Intermediate,Unlikely
27,794329,570383,3543162,17,1,Advanced,Likely
36,4042216,11431691,18108707,18,2,Intermediate,Likely
66,2050694,1018406,5645463,-1,1,Intermediate,Unlikely
49,510086,339506,1175449,5,1,Intermediate,Moderate
67,1360181,2063196,11386173,-2,1,Advanced,Unlikely
29,961811,1698615,5740505,5,0,Beginner,Unlikely
68,596993,3081758,20776249,-3,2,Intermediate,Unlikely
44,1394186,1448149,2262861,3,0,Beginner,Moderate
24,959216,1815403,11972207,13,0,Intermediate,Unlikely
42,3238963,9564067,31991595,12,0,Beginner,Likely
67,335926,780135,3126167,-2,0,Beginner,Unlikely
50,554259,737085,1285150,2,0,Beginner,Unlikely
33,1017032,2646925,9140901,12,3,Beginner,Moderate
25,4980201,5101792,18521291,12,3,Advanced,Likely
21,1080832,289731,529210,8,0,Beginner,Moderate
33,1286546,1522370,6105113,3,0,Beginner,Unlikely
60,348286,1449771,5640559,5,1,Beginner,Unlikely
51,1389892,525588,3872270,6,1,Intermediate,Unlikely
51,1434269,461589,2235193,11,3,Advanced,Likely
51,779666,2075806,15917121,5,1,Intermediate,Unlikely
22,4093389,6633421,47207644,18,0,Beginner,Moderate
51,240883,501902,1773037,3,0,Beginner,Unlikely
19,1391290,546214,3426804,9,1,Beginner,Moderate
42,1415855,892473,3815452,6,0,Intermediate,Moderate
49,913087,2390886,4421579,14,2,Beginner,Likely
34,577830,1474608,5856569,7,0,Beginner,Unlikely
18,202387,134093,215778,18,1,Beginner,Likely
40,1045513,2521469,6324855,20,2,Intermediate,Likely
18,585735,528130,1609322,12,0,Beginner,Moderate
45,859706,1156392,8763924,5,0,Beginner,Unlikely
23,668294,957301,7033050,3,0,Beginner,Unlikely
53,704946,600737,1352378,4,2,Advanced,Moderate
64,384465,1070118,6570205,1,2,Beginner,Unlikely
35,981923,1722714,11745736,16,0,Beginner,Moderate
53,1116863,2016202,14804515,12,0,Advanced,Moderate
33,764160,1543271,5569561,20,1,Intermediate,Likely
27,1372286,2102366,5680633,10,1,Intermediate,Likely
37,2273860,2123038,16578544,10,2,Advanced,Moderate
42,886047,2615082,18137560,11,0,Intermediate,Unlikely
59,550252,364752,2244787,6,0,Advanced,Unlikely
60,2024859,6985758,18054763,5,0,Intermediate,Unlikely
39,1123594,1180485,6361658,10,0,Beginner,Unlikely
62,3346008,11637228,82109145,3,0,Intermediate,Unlikely
54,385906,332201,1463534,10,2,Intermediate,Moderate
29,415041,919101,3817883,17,1,Beginner,Likely
28,727525,1523620,11636332,6,0,Beginner,Unlikely
67,2625876,3353856,8549574,-2,0,Beginner,Unlikely
49,861890,1770420,7961682,16,2,Beginner,Moderate
64,1326381,771190,5840074,1,0,Intermediate,Unlikely
55,1172872,1837330,7167898,10,0,Advanced,Likely
58,1445637,6423573,38423736,7,0,Intermediate,Unlikely
37,2351870,1021878,7969612,17,1,Beginner,Likely
57,220749,376853,2935220,4,0,Advanced,Unlikely
38,851534,1784277,12968968,10,1,Beginner,Unlikely
53,893929,2920304,16121134,2,1,Beginner,Unlikely
40,2705763,732118,5155904,8,1,Intermediate,Moderate
59,1409603,3111887,7352487,6,1,Beginner,Moderate
63,4823566,3356257,25612412,2,0,Intermediate,Unlikely
19,212613,99561,312557,9,2,Beginner,Unlikely
59,1818648,7312009,21117726,6,2,Beginner,Unlikely
53,756386,2614937,15533110,10,0,Advanced,Unlikely
27,1318327,2816923,15685894,20,0,Intermediate,Likely
34,399847,578874,3341946,6,2,Beginner,Unlikely
63,1152701,3481745,18513727,2,0,Advanced,Unlikely
22,1984447,740521,1290121,10,0,Beginner,Likely
41,442835,735920,4530518,1,1,Advanced,Unlikely
22,247095,350523,1574261,5,0,Beginner,Unlikely
46,1321406,3172766,11425584,19,0,Beginner,Likely
66,477249,1146652,5738871,-1,2,Beginner,Unlikely
53,631595,905854,3974643,12,2,Intermediate,Moderate
43,205919,577667,1517820,14,4,Intermediate,Moderate
39,367117,652723,3876977,3,2,Intermediate,Unlikely
34,752095,1746636,13642771,18,0,Beginner,Moderate
28,1256745,1824134,13905606,9,1,Intermediate,Unlikely
39,3908301,11829414,37536002,16,1,Beginner,Likely
68,758950,1436157,3337126,-3,0,Intermediate,Unlikely
59,789808,1714800,3174425,6,2,Beginner,Moderate
32,395591,294692,460284,1,3,Intermediate,Unlikely
23,577470,80783,576575,1,0,Beginner,Unlikely
20,450503,600343,1038133,15,0,Beginner,Likely
53,1010074,2802458,8523849,12,0,Advanced,Likely
68,1426716,5510897,44085164,-3,2,Intermediate,Unlikely
19,1199706,731785,2701610,18,0,Beginner,Likely
33,1065226,579225,2661653,10,0,Beginner,Likely
59,221633,779885,2854098,6,0,Intermediate,Unlikely
37,563502,906535,5687051,15,3,Intermediate,Unlikely
31,564233,872416,4878307,8,0,Beginner,Unlikely
38,345706,516039,1548129,13,0,Advanced,Likely
57,436550,1532627,5171992,8,2,Intermediate,Unlikely
45,1316387,2584716,15807869,11,1,Advanced,Unlikely
41,652074,1605218,7818150,3,2,Intermediate,Unlikely
41,681001,795827,3330741,13,1,Beginner,Moderate
34,386467,616905,3387861,11,1,Intermediate,Moderate
49,1353653,2881744,18391269,16,0,Advanced,Likely
48,985904,3161606,21625976,10,2,Intermediate,Unlikely
41,1734767,2013973,8391595,20,0,Advanced,Likely
48,1417982,1064080,6417214,5,0,Beginner,Unlikely
55,212335,877360,6617747,7,1,Intermediate,Unlikely
52,579276,2270005,16124958,7,2,Advanced,Unlikely
30,1322027,2584714,17821679,6,0,Beginner,Unlikely
57,1303690,1557623,7526688,3,0,Intermediate,Unlikely
31,215265,55798,136014,13,0,Intermediate,Moderate
68,4661227,3973624,24165531,-3,0,Beginner,Unlikely
22,1337496,269445,1818710,7,0,Intermediate,Moderate
23,4035113,1709050,12496900,14,0,Beginner,Likely
42,951120,1732579,7596652,7,0,Beginner,Unlikely
29,1273722,982776,4320432,6,0,Beginner,Unlikely
69,988259,1228714,8093170,-4,1,Advanced,Unlikely
59,894204,395184,1433700,6,0,Intermediate,Moderate
31,387088,82038,453341,1,2,Intermediate,Unlikely
52,3268473,7159935,42893702,13,2,Intermediate,Moderate
20,804545,822053,5677929,5,2,Beginner,Unlikely
64,1393549,3026751,6983438,1,1,Beginner,Unlikely
35,1106894,599866,4569320,3,3,Advanced,Unlikely
26,4539069,2042993,10320837,1,0,Beginner,Unlikely
26,288588,55905,114545,18,0,Intermediate,Likely
21,414980,487457,3278175,16,0,Beginner,Moderate
63,366782,314081,1106422,2,0,Intermediate,Unlikely
20,953757,303588,915663,3,0,Beginner,Unlikely
67,346830,152174,785005,-2,2,Beginner,Unlikely
42,3052967,7437540,55808189,5,1,Intermediate,Unlikely
48,249876,416924,2163101,9,0,Advanced,Unlikely
18,3018062,3901423,17866742,6,0,Beginner,Unlikely
48,815675,2043234,3108680,17,2,Intermediate,Likely
59,2140856,1328937,7136886,4,0,Intermediate,Unlikely
68,272109,1289392,7753693,-3,0,Advanced,Unlikely
70,1438840,7376512,52213277,-5,0,Intermediate,Unlikely
70,323943,1436939,9466242,-5,1,Advanced,Unlikely
29,516388,955205,6849817,7,1,Intermediate,Unlikely
41,4950782,5584249,11737571,1,0,Beginner,Unlikely
50,565808,792588,1556243,15,0,Intermediate,Likely
27,720402,1259916,8905471,1,0,Advanced,Unlikely
27,923779,985355,7304279,2,1,Beginner,Unlikely
51,730163,1720476,11899944,14,2,Intermediate,Unlikely
66,1242607,844502,2177328,-1,0,Intermediate,Unlikely
26,697504,128265,544940,16,0,Intermediate,Likely
40,422495,967947,4979036,13,3,Advanced,Moderate
52,1308963,2681095,17528829,2,1,Beginner,Unlikely
56,557688,1371178,2628010,7,0,Advanced,Likely
50,1229065,515679,3295280,15,0,Intermediate,Likely
28,876841,612567,4677754,17,0,Intermediate,Likely
65,336782,1528296,2719204,0,0,Beginner,Unlikely
44,871527,2846198,12827280,9,3,Intermediate,Unlikely
69,1505315,3892911,14250937,-4,0,Intermediate,Unlikely
42,838504,389484,2649433,5,1,Intermediate,Unlikely
64,1452431,6990160,43172742,1,1,Intermediate,Unlikely
47,217262,668803,4698073,15,2,Beginner,Unlikely
23,431922,500432,2022685,14,0,Beginner,Moderate
25,1294222,813921,3452651,9,3,Advanced,Likely
60,428131,1452635,10051461,2,0,Intermediate,Unlikely
46,1479033,1742448,6932915,10,0,Intermediate,Moderate
30,2603672,1912087,12235046,7,0,Intermediate,Unlikely
30,776648,1807342,7177497,9,3,Beginner,Unlikely
49,848262,3005838,12461699,16,2,Beginner,Moderate
30,517663,1060064,8096683,3,1,Beginner,Unlikely
39,1110062,373262,2866339,15,1,Intermediate,Likely
25,2818651,4844253,23985275,17,0,Beginner,Likely
45,791560,2187747,12040504,14,2,Beginner,Unlikely
56,2138679,7401674,39263971,7,1,Intermediate,Unlikely
31,694049,807908,4133129,7,2,Intermediate,Unlikely
18,3894025,2868800,18488657,8,0,Beginner,Unlikely
24,1160493,632882,1036695,3,0,Beginner,Likely
61,1572235,2636300,20699266,4,0,Intermediate,Unlikely
33,859715,828655,3580838,13,1,Beginner,Moderate
54,1049691,681076,3555966,6,0,Intermediate,Moderate
45,2478499,1454823,11137965,11,3,Advanced,Unlikely
22,204101,167735,582875,17,1,Beginner,Moderate
41,1126560,1310668,7597388,4,2,Advanced,Unlikely
42,3258726,5175638,34599183,17,4,Intermediate,Unlikely
26,859911,1380071,5937258,15,0,Intermediate,Likely
37,571693,935676,4689092,15,4,Intermediate,Unlikely
39,790160,966369,2577428,15,2,Advanced,Likely
31,3387551,2386377,6191410,15,0,Intermediate,Likely
38,1175688,2608159,18560174,19,0,Advanced,Likely
57,494022,418550,1284038,8,0,Intermediate,Likely
60,1027842,1698782,9823636,3,0,Intermediate,Unlikely
45,809954,2866810,22779968,17,2,Beginner,Unlikely
25,510764,431013,1278015,8,1,Intermediate,Moderate
21,506920,576922,926930,17,1,Beginner,Likely
50,772364,861079,5789573,10,3,Intermediate,Unlikely
65,2104489,1225540,6624057,0,2,Intermediate,Unlikely
58,360315,1159217,9099702,7,0,Advanced,Unlikely
54,1205130,3068060,10012005,6,1,Intermediate,Unlikely
28,3116037,1891695,13244611,5,0,Intermediate,Unlikely
24,1593569,359082,650492,2,0,Advanced,Moderate
42,887685,2290593,11549583,17,2,Intermediate,Moderate
28,567702,328129,582056,16,0,Beginner,Likely
70,745014,1550827,5387576,-5,0,Intermediate,Unlikely
53,1872587,2877100,16390731,3,0,Beginner,Unlikely
58,412171,893897,5148036,7,0,Beginner,Unlikely
46,560347,1519404,12137244,19,2,Intermediate,Unlikely
28,272451,533670,3175198,8,2,Intermediate,Unlikely
44,1056476,3155395,21028745,15,0,Intermediate,Moderate
19,4568686,1076075,2184339,16,0,Beginner,Likely
60,456506,397092,2786295,5,1,Advanced,Unlikely
28,803765,341243,2116613,11,2,Intermediate,Moderate
27,2902995,2375692,9037820,2,2,Intermediate,Unlikely
66,1042174,2612482,20132996,-1,0,Advanced,Unlikely
32,4029624,4953307,34413364,12,3,Intermediate,Unlikely
67,1254365,2977451,6427426,-2,0,Beginner,Unlikely
49,2759659,7827344,48345470,16,0,Intermediate,Moderate
69,493275,2546671,10456460,-4,2,Beginner,Unlikely
39,524196,1246194,6714600,18,0,Intermediate,Moderate
49,1129856,3996686,16456724,2,2,Advanced,Unlikely
57,1220809,770963,4670042,8,1,Intermediate,Moderate
68,310754,683682,3944639,-3,0,Intermediate,Unlikely
59,271343,1057879,3621635,6,0,Intermediate,Unlikely
60,3630268,13943289,54786921,5,1,Intermediate,Unlikely
69,1413202,2024130,12722728,-4,1,Beginner,Unlikely
21,749721,276914,1798783,12,0,Beginner,Moderate
42,2371376,4765516,33276878,20,2,Intermediate,Likely
46,258353,314692,1673777,10,2,Beginner,Unlikely
28,595052,436007,3027451,9,1,Advanced,Unlikely
36,4630383,11159168,35698832,2,1,Intermediate,Unlikely
67,759403,810764,4452794,-2,2,Intermediate,Unlikely
39,2925450,2926334,20669202,14,3,Beginner,Unlikely
51,945716,619401,3272890,9,2,Intermediate,Moderate
63,571546,1475621,8782172,2,2,Intermediate,Unlikely
35,1073041,564663,2094793,3,2,Beginner,Unlikely
69,1234118,3484359,10247052,-4,2,Beginner,Unlikely
62,374241,451550,2465390,3,0,Advanced,Unlikely
47,379560,174623,523484,10,1,Intermediate,Likely
37,618188,569877,2145990,4,3,Intermediate,Unlikely
36,358057,166647,475041,17,3,Beginner,Likely
23,648023,660509,4782446,11,0,Beginner,Unlikely
44,1106807,2081876,4534964,2,2,Beginner,Unlikely
36,4212587,8193877,16900113,5,1,Advanced,Moderate
24,525380,480968,749194,18,0,Beginner,Likely
41,308476,700617,4576528,8,0,Advanced,Unlikely
70,3267194,2110186,10604038,-5,0,Beginner,Unlikely
27,2719370,4044101,14983566,8,3,Intermediate,Unlikely
34,483789,1097295,3311157,16,0,Intermediate,Likely
46,1390920,3704824,7192642,12,3,Intermediate,Likely
37,456639,552586,3176511,9,2,Intermediate,Unlikely
44,1306193,1411543,8190438,10,4,Beginner,Unlikely
60,1258365,2244067,4297239,5,2,Advanced,Likely
61,327731,550897,933694,4,0,Intermediate,Moderate
18,710963,978406,2716011,14,0,Beginner,Moderate
60,4766887,9096532,55830621,5,0,Intermediate,Unlikely
27,1239331,1492908,4658750,4,1,Beginner,Unlikely
51,1136151,3037726,10844191,13,2,Beginner,Moderate
37,1284872,2434114,14331693,12,0,Intermediate,Unlikely
28,1320785,2481323,13507556,2,2,Intermediate,Unlikely
21,907199,171853,287587,16,2,Beginner,Likely
37,380310,762373,3344732,16,3,Advanced,Likely
23,459487,152254,575699,6,1,Intermediate,Moderate
46,1256466,1620633,9934496,3,1,Intermediate,Unlikely
67,954776,3830819,26692649,-2,0,Advanced,Unlikely
64,655605,1861593,9096296,1,1,Intermediate,Unlikely
27,3508841,4832396,18327090,12,0,Beginner,Moderate
44,3850385,10538862,68548814,15,2,Advanced,Moderate
57,4544581,4026006,6469338,8,0,Advanced,Likely
26,504330,684320,1476284,13,1,Beginner,Moderate
44,1284747,3541955,5914286,2,0,Intermediate,Unlikely
49,726676,476420,1410968,16,3,Intermediate,Likely
24,550169,785092,3967163,10,0,Beginner,Unlikely
26,3935143,7498955,24075022,13,0,Beginner,Moderate
24,579634,744997,1812464,17,0,Intermediate,Likely
62,455846,971570,7086248,1,0,Intermediate,Unlikely
66,1057657,560862,1105817,-1,0,Intermediate,Unlikely
27,929921,927908,6424802,20,3,Intermediate,Moderate
69,1054050,4782327,30745606,-4,2,Intermediate,Unlikely
53,671087,527644,1740220,12,1,Intermediate,Likely
62,3052384,13161908,65403133,3,2,Intermediate,Unlikely
19,527561,65633,512000,8,0,Beginner,Unlikely
49,966515,2508952,13410404,3,0,Advanced,Unlikely
28,492610,1064896,4522124,2,2,Intermediate,Unlikely
56,1423781,4411976,17313521,1,0,Intermediate,Unlikely
49,930857,2336278,17217317,13,1,Beginner,Unlikely
56,810992,588751,3006602,9,1,Intermediate,Unlikely
64,229093,1156774,2103774,1,2,Intermediate,Unlikely
55,984411,1378192,7452458,5,0,Intermediate,Unlikely
36,4262170,9294638,36341096,19,2,Intermediate,Likely
20,1876592,2425702,17338728,16,0,Intermediate,Likely
57,1256236,1701474,3744718,7,1,Advanced,Likely
65,354008,798741,4918260,0,1,Beginner,Unlikely
27,421256,555132,2083761,17,2,Intermediate,Likely
70,555660,2529594,9294937,-5,0,Intermediate,Unlikely
59,332381,1088372,2847434,6,0,Intermediate,Unlikely
53,3920081,12941830,34874232,1,2,Beginner,Unlikely
36,3678203,10357832,61020141,7,2,Advanced,Unlikely
25,1374790,2325678,12752884,8,0,Intermediate,Unlikely
48,1697876,5964001,22011150,11,2,Advanced,Moderate
29,1204395,1973258,8672948,8,0,Intermediate,Unlikely
51,336625,1237378,1883599,2,0,Beginner,Unlikely
26,2027801,4065753,24025538,9,1,Intermediate,Unlikely
53,1449095,5663050,31685504,2,1,Intermediate,Unlikely
66,1217594,3711393,17951813,-1,0,Beginner,Unlikely
63,333318,382877,1818497,2,2,Advanced,Unlikely
21,642273,104872,199202,5,0,Beginner,Moderate
50,562623,620774,3393302,13,0,Intermediate,Moderate
27,473818,680242,1565819,20,2,Beginner,Moderate
47,437717,1493916,9058780,5,3,Advanced,Unlikely
25,351454,107893,410924,10,1,Beginner,Moderate
41,722325,2076892,14920576,3,0,Beginner,Unlikely
29,417353,294974,1192530,14,2,Intermediate,Likely
59,1422378,3246454,13464739,5,1,Intermediate,Unlikely
39,598573,1374955,10450617,20,1,Intermediate,Moderate
50,718711,294727,1263940,9,1,Intermediate,Moderate
28,932833,819637,2528790,4,1,Intermediate,Unlikely
45,988146,1145643,7016144,4,2,Beginner,Unlikely
58,3651057,6671138,37603970,7,0,Beginner,Unlikely
54,4358371,2261561,10515302,7,1,Beginner,Unlikely
60,675918,1671193,10381536,5,2,Intermediate,Unlikely
55,233527,932734,2076924,10,2,Intermediate,Moderate
34,431096,117179,627759,19,0,Advanced,Likely
32,643655,445771,3174013,10,1,Intermediate,Moderate
39,1173454,539655,2026550,5,0,Advanced,Likely
39,1179210,1951847,6885252,19,1,Beginner,Likely
22,1065530,167391,366490,4,0,Beginner,Moderate
49,4684209,4008868,18119199,16,1,Advanced,Likely
43,514172,593949,1381819,16,0,Intermediate,Likely
57,1316034,5900992,46433641,2,0,Intermediate,Unlikely
32,3368085,686607,3497316,20,2,Intermediate,Likely
38,231998,58623,148678,11,2,Beginner,Moderate
61,2466919,10705516,39348532,1,1,Beginner,Unlikely
26,736926,930733,3643505,19,0,Intermediate,Likely
27,1219984,1666292,9829413,9,0,Beginner,Unlikely
42,4183286,6011999,15594649,10,3,Intermediate,Likely
25,2938894,1583321,3135956,15,3,Beginner,Likely
42,1204949,4025206,14182103,10,4,Advanced,Unlikely
36,1020037,362285,2197013,15,1,Intermediate,Likely
57,4912707,12397513,86538483,8,2,Intermediate,Unlikely
19,1229904,1426388,4300069,10,0,Beginner,Likely
30,789003,267645,1896392,11,1,Beginner,Moderate
33,469683,156300,513618,6,0,Intermediate,Moderate
29,965927,1986238,8992542,17,2,Beginner,Likely
34,1345894,2949045,16450371,1,0,Intermediate,Unlikely
39,419626,1223455,7189991,9,4,Advanced,Unlikely
57,547192,644538,4619122,1,0,Intermediate,Unlikely
58,699699,2677106,12993722,7,1,Beginner,Unlikely
25,818656,1515392,5294786,9,2,Beginner,Unlikely
21,2564727,1502709,2449387,12,0,Beginner,Likely
65,786257,3538924,21779531,0,0,Advanced,Unlikely
56,2796800,8365506,29405471,9,2,Beginner,Unlikely
55,897394,1354311,8941424,1,0,Advanced,Unlikely
66,3609688,8175792,39365445,-1,2,Intermediate,Unlikely
27,3887514,2434386,12121727,15,2,Advanced,Likely
41,4684236,3815778,24209545,14,2,Intermediate,Moderate
60,412232,782663,5746457,5,0,Advanced,Unlikely
25,597025,941176,1786017,12,0,Intermediate,Likely
24,3612715,4622501,22764561,17,2,Intermediate,Likely
20,911953,1158821,3508328,4,1,Beginner,Unlikely
62,2550766,6687083,38199832,3,2,Beginner,Unlikely
40,2859534,8762541,51634372,3,2,Advanced,Unlikely
36,1479395,3639567,7876739,19,2,Advanced,Likely
69,528653,478609,1653114,-4,0,Beginner,Unlikely
41,247593,533918,1247852,12,3,Beginner,Moderate
21,260823,183284,387324,3,1,Beginner,Unlikely
28,540950,702657,1490567,5,1,Beginner,Moderate
18,1344113,1349178,6050187,10,0,Beginner,Moderate
27,1132774,705738,4578485,19,0,Beginner,Moderate
39,688575,798027,3234979,12,2,Beginner,Moderate
34,4208518,3318435,10341730,7,2,Intermediate,Likely
60,1210324,4106557,7807094,5,0,Beginner,Moderate
69,1123709,4991785,19403493,-4,2,Intermediate,Unlikely
27,1473973,398588,1605184,2,1,Advanced,Unlikely
45,4921245,2496579,18508657,10,1,Intermediate,Moderate
32,780970,924315,4714417,3,3,Intermediate,Unlikely
55,2567220,2814366,13028029,10,0,Intermediate,Moderate
42,227671,323416,2576372,6,3,Beginner,Unlikely
57,1249079,5646681,42711280,2,1,Intermediate,Unlikely
69,858621,3894663,23989261,-4,0,Intermediate,Unlikely
20,1277247,1351959,5743894,4,0,Intermediate,Unlikely
23,3396397,4189377,17209877,4,0,Beginner,Unlikely
48,2472563,1697511,4450702,17,0,Advanced,Likely
19,2774681,1146805,5471868,15,1,Intermediate,Likely
59,1286212,5054491,19232657,6,0,Intermediate,Unlikely
40,946587,2207591,10279776,15,2,Intermediate,Likely
36,1387726,3444807,22252531,5,3,Intermediate,Unlikely
19,534929,96049,208553,1,0,Beginner,Unlikely
20,940204,256831,899423,17,0,Intermediate,Likely
33,917748,1733729,12250172,14,1,Beginner,Unlikely
39,1040189,3008657,16660843,7,1,Beginner,Unlikely
49,1994288,972331,7633126,16,3,Intermediate,Likely
18,1247512,325794,1007169,15,0,Beginner,Likely
67,1431877,4534248,12111329,-2,0,Advanced,Unlikely
65,975748,3813093,15901829,0,0,Intermediate,Unlikely
39,222403,446708,3105899,19,3,Advanced,Moderate
49,1220643,2797125,10211867,11,1,Advanced,Likely
66,918349,2682698,15148822,-1,0,Advanced,Unlikely
38,285200,761450,1298943,4,4,Beginner,Unlikely
43,502832,806203,5908444,16,0,Intermediate,Moderate
26,2514559,3437973,23490590,18,0,Intermediate,Likely
49,519823,760918,4441912,10,0,Advanced,Moderate
31,526102,393717,772136,8,0,Beginner,Moderate
62,1138051,4363054,25065468,3,2,Intermediate,Unlikely
67,1072672,590246,2885470,-2,0,Beginner,Unlikely
51,1109190,4168864,24235355,14,2,Intermediate,Unlikely
21,927466,1245095,7235899,10,1,Beginner,Unlikely
24,2776992,1104644,7883502,6,0,Beginner,Unlikely
46,1370311,1404349,5663951,15,1,Beginner,Likely
46,3820289,10557433,76177343,11,0,Beginner,Unlikely
44,1307948,476848,1027571,1,4,Intermediate,Unlikely
60,961492,2079560,5292507,4,0,Intermediate,Unlikely
56,4599271,8950336,33065023,9,0,Advanced,Moderate
18,825053,757983,4850426,11,0,Beginner,Unlikely
53,1234097,1896708,7394262,3,1,Intermediate,Unlikely
41,1439194,1520640,8344341,1,3,Advanced,Unlikely
45,391279,599067,3980773,11,1,Advanced,Unlikely
60,524806,1759254,8103232,5,0,Intermediate,Unlikely
37,376345,1021845,5218975,11,1,Beginner,Unlikely
41,1429570,1583177,3825624,18,4,Advanced,Likely
24,1060099,1537174,5802894,6,0,Beginner,Unlikely
65,4598766,11810983,22280154,0,1,Intermediate,Unlikely
61,725745,2829364,14175198,4,0,Intermediate,Unlikely
62,1372478,1204060,2163861,3,2,Intermediate,Moderate
55,2263157,3879862,23628273,8,1,Beginner,Unlikely
19,962014,715024,1434175,3,0,Intermediate,Unlikely
39,345331,615398,4428230,16,2,Beginner,Unlikely
68,1300922,5462453,23620288,-3,1,Beginner,Unlikely
35,824708,190926,869877,16,4,Intermediate,Moderate
66,902502,849449,5681823,-1,0,Advanced,Unlikely
57,748573,2836626,4576246,8,0,Beginner,Moderate
47,477627,472661,3344106,15,0,Beginner,Moderate
34,548870,470528,1984805,15,2,Beginner,Moderate
54,574909,395921,1819109,4,3,Advanced,Unlikely
52,276740,875060,1947892,12,1,Advanced,Moderate
55,2823712,9841268,36976445,5,1,Advanced,Unlikely
46,1413215,5087737,18864166,2,1,Intermediate,Unlikely
33,3573673,4154172,10897444,4,1,Intermediate,Unlikely
38,362892,679669,2142067,16,3,Intermediate,Likely
27,2436155,4657201,19662614,12,1,Intermediate,Likely
22,663701,793079,1617850,7,1,Beginner,Moderate
20,4961215,6004546,21091995,19,0,Beginner,Likely
48,1109824,1031092,5574263,4,3,Beginner,Unlikely
30,1093701,1174200,2613317,10,0,Intermediate,Likely
33,789063,1207787,2881345,17,3,Beginner,Likely
37,553293,1093249,8226525,18,3,Beginner,Unlikely
49,394892,235782,662534,4,1,Beginner,Unlikely
24,1796233,3028320,6654573,3,0,Beginner,Unlikely
21,361397,164305,414744,3,0,Intermediate,Moderate
32,918800,227402,650461,7,1,Advanced,Likely
23,958423,949715,4564119,4,0,Beginner,Unlikely
68,949096,726707,4937898,-3,0,Intermediate,Unlikely
43,2373644,4370244,10624229,6,2,Advanced,Moderate
57,3749633,8788506,61540681,5,0,Beginner,Unlikely
62,1821667,8849142,34653009,3,0,Intermediate,Unlikely
37,1323870,1349079,8737738,7,2,Beginner,Unlikely
49,896093,3172657,12423469,15,3,Advanced,Likely
38,2396700,7149434,48069062,11,1,Intermediate,Unlikely
41,1030552,2097406,12638980,12,1,Intermediate,Moderate
22,645847,371090,2244200,12,0,Beginner,Moderate
62,1008849,2758936,17767703,2,2,Beginner,Unlikely
41,1475122,4288584,13557721,7,4,Advanced,Unlikely
48,443664,1662108,6183640,4,1,Intermediate,Unlikely
62,1012330,797504,5380620,3,0,Intermediate,Unlikely
64,713515,617169,3966426,1,1,Advanced,Unlikely
27,1318328,1525031,9437033,6,1,Advanced,Unlikely
